number,food_code,thai_name,english_name,scientific_name,Ash (g),Calcium (mg),"Carbohydrate, available (g)","Carbohydrate, total (g)",Cholesterol (mg),Copper (mg),Density (g/mL),Dietary fibre (g),Edible portion (%),"Energy, by calculation (kcal)","Fat, total (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total omega-3 polyunsaturated (g)","Fatty acids, total omega-6 polyunsaturated (g)","Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated (g)",Iron (mg),Magnesium (mg),Moisture (g),Niacin (mg),Phosphorus (mg),Potassium (mg),"Protein, total (g)",Retinol (mcg),Riboflavin (mg),Sodium (mg),"Sugars, total (g)",Thiamin (mg),Total energy - by calculation (kcal),Vitamin A; retinol activity equivalent (mcg),Vitamin C (mg),Zinc (mg),b-carotene (mcg),detail_url
24,T189,"แกงมัสมั่น, ไก่","Curry, Mat-sa-man, chicken",-,2.94,18,12.65,-,18,0.17,-,1.7,-,194,10.99,4.16,0.11,2.08,2.25,3.58,1.01,36,61.4,-,127,619,10.28,0,-,313,5.69,-,-,8,1,0.63,92,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1468&name=Curry, Mat-sa-man, chicken"
25,T32,"แกงมัสมั่น, ไก่/เนื้อ, บรรจุกระป๋อง","Curry, Mat-sa-man, beef/chicken, canned",-,2.96,16,10.45,-,-,-,-,1.2,-,140,6.93,-,-,-,-,-,0.69,-,70.0,-,-,-,8.48,3,0.06,616,6.17,0.02,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1469&name=Curry, Mat-sa-man, beef/chicken, canned"
26,T190,"แกงมัสมั่น, เนื้อ","Curry, Mat-sa-man, beef",-,3.07,-,-,15.50,38,-,-,-,-,-,8.73,2.69,0.05,1.00,1.05,4.59,1.93,-,58.2,-,-,-,14.50,-,-,649,-,-,199,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1470&name=Curry, Mat-sa-man, beef"
27,T191,แกงส้มผักรวม,"Soup,tamarind, mixed vegetables",-,2.02,22,3.93,-,17,0.06,-,1.9,-,31,0.16,-,-,-,-,0.04,0.83,20,91.2,1.00,35,83,2.53,0,0.04,300,3.70,0.03,-,6,3,0.38,64,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1471&name=Soup,tamarind, mixed vegetables"
28,T291,แกงหมูชะมวง,Gaeng-moo-chamoung,-,2.30,44,-,24.40,-,-,-,-,-,-,6.50,-,-,-,-,-,1.10,-,56.5,2.90,100,-,10.30,0,0.18,-,-,0.03,197,12,3,-,142,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1472&name=Gaeng-moo-chamoung
29,T292,"แกงหอยขม, ภาคกลาง","Curry, river snail, central style",-,3.90,633,-,4.40,-,-,-,-,-,-,10.00,-,-,-,-,-,16.20,-,76.2,2.80,69,-,5.50,0,0.16,-,-,0.07,130,15,3,-,184,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1473&name=Curry, river snail, central style"
30,T293,"แกงหอยขม, ภาคอีสาน","Curry, river snail, northeastern style",-,2.80,401,-,5.10,-,-,-,-,-,-,0.30,-,-,-,-,-,11.40,-,86.4,2.30,61,-,5.40,0,0.14,-,-,0.05,45,30,-,-,366,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1474&name=Curry, river snail, northeastern style"
31,T192,แกงเหลืองไก่,"Soup, spicy, yellow (turmeric), with chicken, southern style (Gaeng luang)",-,2.77,-,2.57,-,14,-,-,1.6,-,46,1.13,0.29,0.06,0.24,0.28,0.50,-,-,86.8,-,-,375,5.67,-,-,417,2.57,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1475&name=Soup, spicy, yellow (turmeric), with chicken, southern style (Gaeng luang)"
32,T294,แกงเหลืองใส่ปลา,"Soup, spicy, yellow (turmeric), with fish, southern style",-,3.70,70,-,2.90,-,-,-,-,-,-,0.10,-,-,-,-,-,0.80,-,85.5,1.90,93,-,7.80,0,0.04,-,-,0.06,44,5,-,-,55,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1476&name=Soup, spicy, yellow (turmeric), with fish, southern style"
33,T295,แกงอ่อมเนื้อ,"Soup, spicy (Gaeng Oom) with beef, northen style",-,2.00,45,-,2.10,-,-,-,-,-,-,3.60,-,-,-,-,-,1.50,-,88.8,2.00,40,-,3.50,0,0.09,-,-,0.04,55,30,-,-,361,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1477&name=Soup, spicy (Gaeng Oom) with beef, northen style"
