number,food_code,thai_name,english_name,scientific_name,Ash (g),Calcium (mg),"Carbohydrate, available (g)","Carbohydrate, total (g)",Cholesterol (mg),Copper (mg),Density (g/mL),Dietary fibre (g),Edible portion (%),"Energy, by calculation (kcal)","Fat, total (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total omega-3 polyunsaturated (g)","Fatty acids, total omega-6 polyunsaturated (g)","Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated (g)",Iron (mg),Magnesium (mg),Moisture (g),Niacin (mg),Phosphorus (mg),Potassium (mg),"Protein, total (g)",Retinol (mcg),Riboflavin (mg),Sodium (mg),"Sugars, total (g)",Thiamin (mg),Total energy - by calculation (kcal),Vitamin A; retinol activity equivalent (mcg),Vitamin C (mg),Zinc (mg),b-carotene (mcg),detail_url
122,T208,ข้าวหมก (เฉพาะข้าว),Rice cooked with curry powder,-,1.33,-,-,33.53,2,-,-,-,-,-,3.13,1.29,0.02,0.53,0.55,1.15,0.17,-,58.7,-,-,-,3.33,-,-,259,-,-,176,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1566&name=Rice cooked with curry powder
123,T64,ข้าวหมูแดง,Rice with roasted pork and gravy,-,1.19,352,22.72,-,-,-,-,0.2,-,154,4.18,-,-,-,-,-,0.20,-,65.5,1.30,72,-,6.29,-,-,284,-,0.20,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1567&name=Rice with roasted pork and gravy
124,T65,ข้าวหมูทอด,Rice with fried seasoning pork,-,0.57,-,21.06,-,-,-,-,0.0,-,144,3.20,-,-,-,-,-,-,-,67.4,-,-,208,7.74,-,-,222,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1568&name=Rice with fried seasoning pork
125,T68,"โจ๊ก, หมู",Porridge rice with minced pork,-,1.23,6,6.85,-,-,-,-,0.0,-,57,2.63,-,-,-,-,-,0.47,-,87.7,-,-,-,1.56,-,-,-,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1569&name=Porridge rice with minced pork
126,T311,เต้าคั่ว,Thai noodle salad (Tao Khao),-,1.90,0,-,23.80,-,-,-,-,-,-,5.80,-,-,-,-,-,2.64,-,64.6,0.90,-,-,3.90,-,0.10,-,-,18.02,163,-,2,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1570&name=Thai noodle salad (Tao Khao)
127,T220,บะจ่าง,Zongzi (Pyramid-shaped dumplings made by wrapping glutinous rice in bamboo leaves/reed leaves ),-,3.60,37,-,33.90,-,-,-,-,-,-,6.83,-,-,-,-,-,1.37,-,48.0,-,-,-,7.63,-,-,388,-,-,228,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1571&name=Zongzi (Pyramid-shaped dumplings made by wrapping glutinous rice in bamboo leaves/reed leaves )
128,T153,"บะหมี่, ลูกชิ้น, น้ำ","Wheat noodle (Ba-mee), with meat ball and soup",-,1.11,-,8.44,-,-,-,-,0.3,-,73,2.44,-,-,-,-,-,-,-,83.5,-,-,-,4.30,-,-,-,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1572&name=Wheat noodle (Ba-mee), with meat ball and soup"
129,T92,"บะหมี่, หมูแดง, น้ำ",Wheat noodle (Ba-mee) with roasted pork and soup,-,1.60,-,1.40,-,42,-,-,0.9,-,102,8.60,3.42,-,-,1.55,2.07,-,37,83.1,-,94,153,4.40,-,-,338,-,-,-,-,-,1.62,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1573&name=Wheat noodle (Ba-mee) with roasted pork and soup
130,T93,"บะหมี่, หมูแดง, แห้ง",Wheat noodle (Ba-mee) with roasted pork (without soup),-,1.10,-,-,18.30,-,-,-,-,-,-,13.90,-,-,-,-,-,1.90,-,58.5,-,-,152,8.20,-,-,307,-,-,231,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1574&name=Wheat noodle (Ba-mee) with roasted pork (without soup)
131,T97,"มักกะโรนี, หมู",Fried macaroni with pork,-,0.80,47,19.22,-,-,-,-,0.0,-,163,7.00,-,-,-,-,-,-,-,67.3,-,-,152,5.70,17,-,252,-,-,-,33,4,-,200,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1575&name=Fried macaroni with pork
132,T105,"เส้นเล็ก, เนื้อสด, น้ำ","Rice noodles, small size, with beef and soup",-,1.70,-,-,8.50,-,-,-,-,-,-,2.70,-,-,-,-,-,1.30,-,82.5,-,-,132,4.60,-,-,464,-,-,77,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1576&name=Rice noodles, small size, with beef and soup"
133,T154,"เส้นเล็ก, เป็ด, น้ำ","Rice noodles, small size, with duck and soup",-,2.96,-,6.24,-,-,-,-,0.3,-,90,5.15,-,-,-,-,-,-,-,80.8,-,-,-,4.56,-,-,-,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1577&name=Rice noodles, small size, with duck and soup"
134,T106,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, น้ำ","Rice noodles, small size, with beef ball and soup",-,1.90,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.10,-,82.8,-,33,156,4.00,-,0.03,377,-,0.01,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1578&name=Rice noodles, small size, with beef ball and soup"
135,T107,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, เนื้อสด-เปื่อย, น้ำ","Rice noodles, small size, with beef ball, beef, stewed beef and soup",-,1.90,8,-,9.90,-,-,-,-,-,-,1.70,-,-,-,-,-,1.20,-,80.6,1.00,39,-,5.90,-,0.06,380,-,0.01,79,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1579&name=Rice noodles, small size, with beef ball, beef, stewed beef and soup"
136,T108,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, เนื้อสด-เปื่อย, แห้ง","Rice noodles, small size, with beef ball, beef and stewed beef (wihout soup)",-,1.80,17,-,18.20,-,-,-,-,-,-,5.50,-,-,-,-,-,1.30,-,65.9,1.10,52,164,8.60,-,0.07,347,-,0.02,157,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1580&name=Rice noodles, small size, with beef ball, beef and stewed beef (wihout soup)"
137,T110,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, แห้ง","Rice noodles, small size, with beef ball (wihout soup)",-,1.80,27,-,17.60,-,-,-,-,-,-,6.70,-,-,-,-,-,-,-,68.3,-,42,179,5.50,-,0.05,350,-,0.01,153,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1581&name=Rice noodles, small size, with beef ball (wihout soup)"
138,T111,"เส้นเล็ก, หมู, แห้ง","Rice noodles, small size, with pork (wihout soup)",-,1.23,147,-,21.00,-,-,-,-,-,-,10.39,-,-,-,-,-,1.92,-,59.5,2.50,128,132,7.86,575,0.54,311,-,0.08,209,575,1,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1582&name=Rice noodles, small size, with pork (wihout soup)"
139,T112,"เส้นหมี่, เนื้อเปื่อย,น้ำ","Rice noodles, fine thread, with stewed beef and soup",-,1.70,-,7.80,-,-,-,-,0.8,-,79,2.70,-,-,-,-,-,-,34,81.6,-,79,138,5.40,-,-,564,-,-,-,-,-,0.96,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1583&name=Rice noodles, fine thread, with stewed beef and soup"
140,T115,"เส้นหมี่, เนื้อสด,น้ำ","Rice noodles, fine thread, with beef and soup",-,1.60,-,8.10,-,-,-,-,0.9,-,70,2.00,-,-,-,-,-,-,35,83.0,-,92,170,4.40,-,-,484,-,-,-,-,-,1.20,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1584&name=Rice noodles, fine thread, with beef and soup"
141,T113,"เส้นหมี่, เนื้อสด-เปื่อย","Rice noodles, fine thread, with beef and stewed beef (wihout soup)",-,1.90,-,8.10,-,-,-,-,1.0,-,79,2.70,-,-,-,-,-,-,-,81.2,-,-,105,5.10,-,-,479,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1585&name=Rice noodles, fine thread, with beef and stewed beef (wihout soup)"
142,T114,"เส้นหมี่, เนื้อสด-เปื่อย, น้ำ","Rice noodles, fine thread, with beef and stewed beef and soup",-,3.10,-,-,10.90,-,-,-,-,-,-,1.80,-,-,-,-,-,1.80,32,77.3,-,77,141,6.90,-,-,563,-,-,87,-,-,1.30,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1586&name=Rice noodles, fine thread, with beef and stewed beef and soup"
143,T312,"เส้นหมี่, ผัดซีอิ้ว","Fried rice noodles (fine thread) with pork, egg and soysauce",-,1.50,-,-,33.90,-,-,-,-,-,-,2.10,-,-,-,-,-,-,-,60.1,2.20,-,-,2.40,0,0.05,-,-,0.03,164,0,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1587&name=Fried rice noodles (fine thread) with pork, egg and soysauce"
144,T122,"เส้นหมี่, ลูกชิ้นเนื้อวัว, น้ำ","Rice noodles, fine thread, with beef ball and soup",-,1.47,44,5.91,-,-,-,-,0.7,-,49,1.26,-,-,-,-,-,0.86,29,87.5,1.00,59,155,3.16,-,0.11,526,-,0.01,-,-,-,1.06,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1588&name=Rice noodles, fine thread, with beef ball and soup"
145,T119,"เส้นหมี่, ลูกชิ้นเนื้อวัว, เนื้อสด, น้ำ","Rice noodles, fine thread, with beef ball, beef and soup",-,1.42,10,8.11,-,-,-,-,0.3,-,66,1.52,-,-,-,-,-,1.15,-,83.9,0.94,41,137,4.78,-,0.06,437,-,0.01,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1589&name=Rice noodles, fine thread, with beef ball, beef and soup"
146,T121,"เส้นหมี่, ลูกชิ้นเนื้อวัว, แห้ง","Rice noodles, fine thread, with beef ball (without soup)",-,2.12,26,-,21.70,-,-,-,-,-,-,8.11,-,-,-,-,-,4.40,-,65.7,1.31,47,162,5.87,-,0.06,411,-,0.02,152,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1590&name=Rice noodles, fine thread, with beef ball (without soup)"
147,T123,"เส้นใหญ่, ลูกชิ้นเนื้อวัว, น้ำ","Rice noodles, big size, with beef ball and soup",-,2.31,23,-,9.00,-,-,-,-,-,-,0.72,-,-,-,-,-,-,-,83.4,-,30,188,4.58,-,0.04,752,-,0.01,61,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1591&name=Rice noodles, big size, with beef ball and soup"
148,T125,"เส้นใหญ่, ลูกชิ้นเนื้อวัว, เนื้อสด-เปื่อย, น้ำ","Rice noodles, big size, with beef ball, beef and stewed beef and soup",-,1.90,22,-,8.10,-,-,-,-,-,-,1.60,-,-,-,-,-,1.10,-,83.1,-,35,-,5.30,-,-,-,-,-,68,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1592&name=Rice noodles, big size, with beef ball, beef and stewed beef and soup"
149,T126,"เส้นใหญ่, ลูกชิ้นเนื้อวัว, เนื้อสด-เปื่อย, แห้ง","Rice noodles, big size, with beef ball, beef and stewed beef",-,2.00,23,-,17.70,-,-,-,-,-,-,6.80,-,-,-,-,-,4.60,-,65.8,1.30,49,216,7.70,-,0.08,381,-,0.02,163,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1593&name=Rice noodles, big size, with beef ball, beef and stewed beef"
150,T127,"เส้นใหญ่, หมู, น้ำ","Rice noodles, big size, with pork and soup",-,1.22,-,2.75,-,-,-,-,1.6,-,75,3.63,-,-,-,-,-,1.18,28,83.7,-,82,95,7.10,-,-,394,-,-,-,-,-,1.15,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1594&name=Rice noodles, big size, with pork and soup"
151,T132,หมี่กะทิ,Mee-ka-thi (Rice noodles covered with tofu fried in coconut cream),-,1.70,38,24.50,-,-,-,-,0.0,-,173,6.60,-,-,-,-,-,0.70,-,63.3,0.90,64,-,3.90,-,0.89,-,-,0.63,-,-,1,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1595&name=Mee-ka-thi (Rice noodles covered with tofu fried in coconut cream)
152,T133,หอยแมลงภู่ทอดใส่ไข่,"Hoi-tod (Mussel, fried with egg and mungbean sprout)",-,1.20,158,15.10,-,-,-,-,0.0,-,219,14.10,-,-,-,-,-,0.40,-,61.6,1.80,194,-,8.00,-,1.17,-,-,0.80,-,-,1,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1596&name=Hoi-tod (Mussel, fried with egg and mungbean sprout)"
153,T314,"กล้วย, เชื่อม","Banana, cooked  in concentrated syrup",Musa sp.,0.50,24,16.60,-,-,0.09,-,0.1,-,79,1.00,-,-,-,-,-,0.73,66,81.0,-,65,577,0.80,-,0.02,55,-,0.40,-,-,8,0.93,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1597&name=Banana, cooked  in concentrated syrup"
154,T313,"กล้วยไข่, เชื่อม","Banana, boiled in syrup",-,0.70,-,53.30,-,-,-,-,1.7,-,238,1.80,-,-,-,-,-,-,-,41.3,-,-,-,1.20,-,-,-,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1598&name=Banana, boiled in syrup"
155,T236,กล้วยบวชชี,Kluay-buad-shee (banana in sweet coconut milk),-,1.00,6,20.00,-,1,-,-,2.4,-,107,2.13,0.15,0.01,0.06,0.06,1.85,-,-,73.8,-,-,-,0.70,-,0.01,147,14.00,0.05,-,3,-,-,31,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1599&name=Kluay-buad-shee (banana in sweet coconut milk)
156,T237,กาละแม,Ka-la-mae (Thai caramel),-,0.82,9,80.69,-,4,-,-,1.7,-,407,7.98,0.65,0.01,0.25,0.19,6.52,3.20,-,6.6,-,-,-,2.18,-,-,76,24.19,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1600&name=Ka-la-mae (Thai caramel)
157,T315,ขนมโก๋,Ka-nom-ko,-,1.00,-,-,75.82,-,-,-,-,-,-,11.40,-,-,-,-,-,1.50,-,7.1,-,97,-,4.70,-,0.04,-,-,0.06,425,0,-,-,0,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1601&name=Ka-nom-ko
158,T238,ขนมครก,Ka-nom-khrok (coconut pudding),-,0.33,-,15.47,-,0,-,-,0.0,-,94,2.90,0.25,0.01,0.13,0.13,2.34,-,-,79.9,-,-,-,1.43,-,-,75,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1602&name=Ka-nom-khrok (coconut pudding)
159,T239,ขนมครกสิงคโปร์,Ka-nom-khrok-Singapore (coconut pudding with pandanus leaf),-,1.33,-,49.76,-,-,-,-,0.0,-,267,5.94,-,-,-,-,-,-,-,39.3,-,-,-,3.65,30,-,258,21.46,-,-,30,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1603&name=Ka-nom-khrok-Singapore (coconut pudding with pandanus leaf)
160,T240,ขนมจาก,"Ka-nom-jak (coconut meat mixed with black sticky rice flour and wrapped up with palm leaves, grilled)",-,1.13,11,44.17,-,0,-,-,5.8,-,390,20.90,4.22,0.01,2.27,2.28,13.47,1.97,-,24.7,-,-,-,3.37,-,-,107,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1604&name=Ka-nom-jak (coconut meat mixed with black sticky rice flour and wrapped up with palm leaves, grilled)"
161,T160,ขนมชั้น,Ka-nom-shun (steamed layer cake),-,0.26,11,42.84,-,0,-,-,0.7,-,249,7.95,1.42,0.03,1.36,1.39,4.76,0.20,-,47.1,-,16,60,1.16,-,0.05,15,15.20,0.01,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1605&name=Ka-nom-shun (steamed layer cake)
162,T244,ขนมดู,Ka-nom-du (roasted sticky rice flour with honey and sugar),-,0.70,-,78.27,-,-,-,-,0.0,-,355,3.40,-,-,-,-,-,-,-,14.7,-,-,-,2.93,-,-,112,21.13,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1606&name=Ka-nom-du (roasted sticky rice flour with honey and sugar)
163,T161,ขนมตาล,Ka-nom-taan (steamed toddy palm cake),-,0.47,-,48.40,-,-,-,-,0.0,-,211,0.94,-,-,-,-,-,-,-,48.1,-,-,-,2.14,-,-,-,-,-,-,1,-,-,11,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1607&name=Ka-nom-taan (steamed toddy palm cake)
164,T162,ขนมถ้วยฟู,"Ka-nom touy-fu (rice cake, fermented)",-,0.50,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,50.5,-,-,-,2.00,-,-,-,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1608&name=Ka-nom touy-fu (rice cake, fermented)"
165,T246,ขนมเทียน,Ka-nom-tian (stuffed dough pyramid),-,1.20,-,53.20,-,-,-,-,2.1,-,297,6.60,-,-,-,-,-,-,-,31.7,-,-,-,5.20,-,-,-,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1609&name=Ka-nom-tian (stuffed dough pyramid)
166,T247,ขนมบดิน,Ka-nom-badin (Thai-Muslim butter cake),-,1.27,-,53.13,-,49,-,-,0.0,-,389,16.00,5.45,0.09,1.21,1.32,8.57,0.60,-,21.4,-,-,-,8.20,-,-,152,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1610&name=Ka-nom-badin (Thai-Muslim butter cake)
167,T249,ขนมบัวลอย,Ka-nom-bua-loi (Thai glutinous rice dumplings in sweet coconut cream),-,1.40,10,29.35,-,-,-,-,0.6,-,145,2.40,0.20,0.00,0.07,0.07,2.03,0.30,-,65.0,-,-,-,1.25,-,-,266,-,-,-,1,-,-,6,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1611&name=Ka-nom-bua-loi (Thai glutinous rice dumplings in sweet coconut cream)
168,T248,ขนมบ้าบิ่น,Ka-nom-ba-bin (mixture of glutinous rice flour and egg baked with grated coconut),-,0.64,-,-,62.40,-,-,-,-,-,-,12.08,-,-,-,-,-,-,-,21.6,-,-,-,3.30,-,-,-,-,-,372,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1612&name=Ka-nom-ba-bin (mixture of glutinous rice flour and egg baked with grated coconut)
169,T136,ขนมฝักบัว,"Ka-nom-phug-bua (rice cake, deep fried)",-,0.33,-,-,59.40,-,-,-,-,-,-,10.22,-,-,-,-,-,-,-,27.2,-,-,-,2.90,-,-,84,16.10,-,341,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1613&name=Ka-nom-phug-bua (rice cake, deep fried)"
170,T316,ขนมลา,Ka-nom-la,-,0.70,44,-,70.30,-,-,-,-,-,-,16.40,-,-,-,-,-,-,-,10.0,2.00,40,-,2.60,-,2.09,-,-,0.13,439,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1614&name=Ka-nom-la
171,T253,ขนมใส่ไส้/สอดไส้,Ka-nom-sai-sai/sod-sai (filled coconut cream),-,0.75,-,-,24.75,-,-,-,-,-,-,12.80,-,-,-,-,-,-,-,59.2,-,-,146,2.50,-,-,88,7.00,-,224,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1615&name=Ka-nom-sai-sai/sod-sai (filled coconut cream)
172,T138,ขนมหม้อแกง-ถั่ว,"Ka-nom-moh-kaeng (mungbean custard, baked)",-,0.90,9,27.70,-,-,-,-,4.2,-,207,7.20,-,-,-,-,-,-,-,54.2,0.80,72,-,5.80,8,0.18,-,-,0.05,-,8,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1616&name=Ka-nom-moh-kaeng (mungbean custard, baked)"
173,T170,"ขนมไหว้พระจันทร์, ไส้ทุเรียน","Cake, Moon cake, durian filled",-,1.50,23,56.90,-,-,-,-,3.7,-,345,9.98,-,-,-,-,-,1.24,-,22.8,-,-,-,5.11,0,-,67,27.54,-,-,0,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1617&name=Cake, Moon cake, durian filled"
174,T171,"ขนมไหว้พระจันทร์, ไส้ทุเรียน + ไข่","Cake, Moon cake, durian and egg filled",-,1.45,36,53.32,-,-,-,-,3.2,-,375,14.17,-,-,-,-,-,1.37,-,20.8,-,-,-,7.03,25,-,83,25.04,-,-,25,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1618&name=Cake, Moon cake, durian and egg filled"
175,T167,"ขนมไหว้พระจันทร์, ไส้พุทรา","Cake, Moon cake, jujube filled",-,0.54,34,56.61,-,-,-,-,5.5,-,338,9.16,-,-,-,-,-,1.10,-,23.8,-,-,-,4.44,0,-,30,21.40,-,-,0,0,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1619&name=Cake, Moon cake, jujube filled"
176,T168,"ขนมไหว้พระจันทร์, ไส้เมล็ดบัว","Cake, Moon cake, lotus seed filled",-,0.69,45,55.66,-,-,-,-,2.4,-,384,14.84,-,-,-,-,-,1.10,-,20.7,-,-,-,5.76,0,-,40,26.82,-,-,0,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1620&name=Cake, Moon cake, lotus seed filled"
177,T169,"ขนมไหว้พระจันทร์, ไส้เมล็ดบัว+ไข่","Cake, Moon cake, lotus seed and egg filled",-,0.89,62,52.21,-,-,-,-,1.9,-,404,18.24,-,-,-,-,-,1.85,-,20.0,-,-,-,6.71,25,-,64,28.84,-,-,25,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1621&name=Cake, Moon cake, lotus seed and egg filled"
178,T172,"ขนมไหว้พระจันทร์, ไส้โหงวยิ้ง","Cake, Moon cake, five nuts filled",-,1.72,43,46.14,-,-,-,-,2.6,-,450,24.00,-,-,-,-,-,3.53,-,14.6,-,-,-,11.04,0,-,189,27.17,-,-,-,0,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1622&name=Cake, Moon cake, five nuts filled"
179,T317,ข้าวหมาก,"Khao-maak (glutinous rice, fermented)",Oryza sativa,0.11,6,41.43,-,-,0.03,-,0.3,100.000,183,0.12,-,-,-,-,-,0.08,3,54.1,0.35,20,5,3.94,-,0.00,7,27.94,0.02,-,0,-,0.83,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1623&name=Khao-maak (glutinous rice, fermented)"
180,T139,ข้าวเหนียวมูล,"Khao-niao-moon (glutinous rice, steamed in coconut milk)",-,0.90,1,52.20,-,-,-,-,1.7,-,281,6.30,-,-,-,-,-,-,-,35.8,0.30,18,-,3.10,-,0.03,-,-,-,-,0,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1624&name=Khao-niao-moon (glutinous rice, steamed in coconut milk)"
181,T318,"เฉาก๊วย, สูตรต่างๆ",Grass jelly (Chao kuai),Mesona chinensis,0.75,-,-,3.93,-,-,-,-,-,-,0.00,-,-,-,-,-,1.35,-,95.2,-,-,-,0.15,-,-,-,-,-,16,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1625&name=Grass jelly (Chao kuai)
182,T164,ซาหริ่ม,Sa-rim (mungbean thread in coconut milk),-,0.10,7,29.01,-,-,-,-,1.2,-,160,4.50,-,-,-,-,-,0.00,-,65.0,0.10,6,-,0.20,-,0.00,-,-,0.01,-,0,-,-,0,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1626&name=Sa-rim (mungbean thread in coconut milk)
183,T140,ตะโก้แห้ว,Tako-haew (coconut pudding with water chestnut),-,0.80,5,18.20,-,-,-,-,3.0,-,132,5.70,-,-,-,-,-,0.00,-,71.6,0.20,19,-,0.70,-,0.00,-,-,0.00,-,1,-,-,11,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1627&name=Tako-haew (coconut pudding with water chestnut)
184,T261,เต้าส่วน,Tao-suan,-,0.67,8,25.60,-,0,-,-,2.0,-,136,2.13,0.12,0.04,0.22,0.27,1.65,0.50,-,66.9,-,-,-,2.70,-,0.01,97,16.10,0.02,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1628&name=Tao-suan
185,T319,เต้าฮวย,"Soybean curd, soft (Tau-huay)",Glycine max,0.50,54,-,9.98,-,-,-,-,-,-,3.02,-,-,-,-,-,0.64,-,84.8,0.54,25,100,1.74,-,0.03,52,-,-,74,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1629&name=Soybean curd, soft (Tau-huay)"
