epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,16033,0.84523,2.56939,0.36941,0.71477,1.28708,0.96215,0.98471,0.98862,0.79172,0.96215,0.98471,0.98862,0.59291,0.79416,1.61708,0.09043,0.44667,1.36491,0.0006436,0.0006436,0.0006436
38,16481.3,0.83978,2.53218,0.37018,0.72271,1.29259,0.95926,0.95183,0.98578,0.77635,0.95926,0.95183,0.98578,0.57641,0.81572,1.59692,0.13331,0.4801,1.37437,0.0006337,0.0006337,0.0006337
39,16927.6,0.81246,2.48308,0.36289,0.68934,1.27385,0.96049,0.94652,0.98474,0.78822,0.95197,0.93895,0.97568,0.57431,0.77632,1.59,0.09763,0.45072,1.31564,0.0006238,0.0006238,0.0006238
40,17375.1,0.8416,2.47388,0.35773,0.71763,1.28285,0.94793,0.98016,0.98918,0.77572,0.94501,0.97713,0.98349,0.58736,0.78065,1.56723,0.11044,0.43087,1.32721,0.0006139,0.0006139,0.0006139
41,17822.9,0.82447,2.4556,0.35273,0.69731,1.29088,0.98279,0.97226,0.99015,0.7849,0.97981,0.96923,0.98512,0.59984,0.8281,1.51503,0.07864,0.42885,1.40541,0.000604,0.000604,0.000604
42,18271.6,0.81979,2.52197,0.35946,0.67326,1.29142,0.95474,0.99001,0.99135,0.79147,0.95474,0.99001,0.99135,0.62004,0.77662,1.40761,0.1215,0.40885,1.33746,0.0005941,0.0005941,0.0005941
43,18720.6,0.80648,2.38253,0.35534,0.66454,1.27407,0.98017,0.96559,0.98979,0.79876,0.98017,0.96559,0.98979,0.62462,0.7388,1.405,0.09065,0.40111,1.31261,0.0005842,0.0005842,0.0005842
44,19171.9,0.81106,2.30545,0.34553,0.67922,1.265,0.99065,0.99392,0.99083,0.78938,0.99065,0.99392,0.99083,0.60257,0.78394,1.43748,0.08721,0.39826,1.35771,0.0005743,0.0005743,0.0005743
45,19622.1,0.82007,2.32975,0.35397,0.6847,1.27384,0.98051,0.98918,0.99154,0.79098,0.97739,0.98621,0.98706,0.58648,0.79505,1.49027,0.10803,0.41678,1.35249,0.0005644,0.0005644,0.0005644
46,20056.2,0.81674,2.33482,0.34786,0.66155,1.28553,0.99,0.99238,0.99194,0.79568,0.9883,0.99003,0.98854,0.61009,0.75878,1.44202,0.10415,0.37549,1.32365,0.0005545,0.0005545,0.0005545
47,20494,0.82642,2.22984,0.3464,0.66229,1.2823,0.98493,0.96544,0.99052,0.7838,0.98493,0.96544,0.99052,0.63248,0.77543,1.40307,0.10309,0.41643,1.35473,0.0005446,0.0005446,0.0005446
48,20930.9,0.7934,2.23361,0.34302,0.65713,1.26923,0.98349,0.98786,0.99154,0.80099,0.98349,0.98786,0.99154,0.62335,0.76147,1.42695,0.08861,0.38558,1.35446,0.0005347,0.0005347,0.0005347
49,21391.4,0.80023,2.20181,0.33475,0.65463,1.26082,0.98482,0.98993,0.99142,0.80695,0.98482,0.98993,0.99142,0.62254,0.74294,1.42887,0.10796,0.38461,1.30823,0.0005248,0.0005248,0.0005248
50,21832.7,0.77758,2.2112,0.33681,0.63728,1.25207,0.99073,0.99207,0.99117,0.80184,0.99073,0.99207,0.99117,0.66132,0.74597,1.33907,0.07823,0.38564,1.32208,0.0005149,0.0005149,0.0005149
51,22297.5,0.78923,2.18385,0.34561,0.62684,1.25542,0.97649,0.99243,0.9909,0.81245,0.97351,0.98948,0.98667,0.64622,0.72832,1.40341,0.07259,0.39435,1.31007,0.000505,0.000505,0.000505
52,22768,0.7652,2.17818,0.33979,0.63562,1.25313,0.98816,0.99583,0.99114,0.79026,0.98816,0.99583,0.99114,0.68023,0.76401,1.29522,0.08825,0.37895,1.33102,0.0004951,0.0004951,0.0004951
53,23243.2,0.78234,2.09481,0.33733,0.60935,1.25305,0.99333,0.99316,0.99123,0.80515,0.99333,0.99316,0.99123,0.67144,0.74383,1.29251,0.10059,0.37249,1.29505,0.0004852,0.0004852,0.0004852
54,23714.5,0.75219,2.08829,0.3379,0.61025,1.23764,0.99246,0.99697,0.99142,0.8169,0.99246,0.99697,0.99142,0.65979,0.72163,1.32248,0.09733,0.36362,1.29015,0.0004753,0.0004753,0.0004753
55,341.843,0.75693,2.10504,0.32893,0.61316,1.24505,0.97663,0.97608,0.9892,0.80848,0.96956,0.96913,0.98204,0.64268,0.73173,1.35583,0.0752,0.38255,1.30108,0.0004654,0.0004654,0.0004654
56,710.948,0.75676,2.05319,0.33028,0.58053,1.23437,0.98459,0.99117,0.9907,0.79313,0.98459,0.99117,0.9907,0.65484,0.77505,1.28717,0.07686,0.39019,1.32583,0.0004555,0.0004555,0.0004555
57,1079.84,0.74875,2.00108,0.33522,0.57702,1.23225,0.98836,0.98542,0.99167,0.8071,0.98836,0.98542,0.99167,0.66707,0.73354,1.28056,0.07264,0.37779,1.29158,0.0004456,0.0004456,0.0004456
58,1431.45,0.76592,1.95621,0.3227,0.58609,1.25751,0.99102,0.99697,0.99259,0.80119,0.99102,0.99697,0.99259,0.66709,0.76052,1.29011,0.0892,0.37088,1.30459,0.0004357,0.0004357,0.0004357
59,1773.09,0.76185,1.99753,0.32884,0.57469,1.2446,0.98608,0.99077,0.99154,0.80778,0.98308,0.98774,0.98683,0.65156,0.75508,1.29405,0.06559,0.35849,1.29454,0.0004258,0.0004258,0.0004258
60,2134.06,0.75699,2.04282,0.31961,0.58457,1.24034,0.9913,0.99697,0.9916,0.80046,0.9913,0.99697,0.9916,0.67829,0.73214,1.27353,0.07062,0.35835,1.28961,0.0004159,0.0004159,0.0004159
61,2508.76,0.72688,1.92969,0.32591,0.55547,1.2115,0.99264,0.99697,0.9913,0.814,0.99264,0.99697,0.9913,0.67768,0.72416,1.23246,0.069,0.33598,1.28471,0.000406,0.000406,0.000406
62,2868.5,0.74472,1.9698,0.32672,0.57523,1.25178,0.98718,0.99697,0.99127,0.81976,0.98718,0.99697,0.99127,0.68438,0.70805,1.23967,0.06506,0.35054,1.26428,0.0003961,0.0003961,0.0003961
63,3219.2,0.73711,1.88517,0.31774,0.5755,1.22674,0.99087,0.99351,0.99167,0.82001,0.99087,0.99351,0.99167,0.6709,0.71413,1.23574,0.0743,0.35752,1.27318,0.0003862,0.0003862,0.0003862
64,3653.75,0.74298,1.91756,0.32259,0.53462,1.21117,0.99149,0.99374,0.99259,0.81704,0.99149,0.99374,0.99259,0.68703,0.72721,1.19262,0.059,0.34818,1.26795,0.0003763,0.0003763,0.0003763
65,4091.5,0.71856,1.89534,0.32088,0.55398,1.21562,0.99287,0.98547,0.99077,0.81306,0.99287,0.98547,0.99077,0.681,0.72092,1.21972,0.06391,0.34767,1.27463,0.0003664,0.0003664,0.0003664
66,4541.36,0.7136,1.86473,0.3253,0.55037,1.20883,0.99236,0.99377,0.99253,0.81806,0.99236,0.99377,0.99253,0.66596,0.72607,1.22081,0.06821,0.34994,1.28302,0.0003565,0.0003565,0.0003565
67,4953.17,0.73778,1.88657,0.31665,0.55681,1.2324,0.9942,0.99397,0.99225,0.82093,0.9942,0.99397,0.99225,0.69104,0.71771,1.20198,0.05748,0.33076,1.27575,0.0003466,0.0003466,0.0003466
68,5382.8,0.72325,1.84302,0.31758,0.54397,1.21468,0.99171,0.99494,0.99213,0.82318,0.99171,0.99494,0.99213,0.69729,0.69511,1.21133,0.07293,0.32893,1.24727,0.0003367,0.0003367,0.0003367
69,5798.26,0.6965,1.80432,0.31878,0.52453,1.20054,0.99348,0.99398,0.99201,0.81656,0.99041,0.99095,0.98806,0.70578,0.7073,1.13442,0.06782,0.33088,1.26009,0.0003268,0.0003268,0.0003268
70,6212.48,0.69495,1.82883,0.31288,0.51347,1.20632,0.98651,0.99314,0.99123,0.81699,0.98651,0.99314,0.99123,0.70082,0.69048,1.16185,0.07141,0.32749,1.24313,0.0003169,0.0003169,0.0003169
71,6629.2,0.70341,1.77141,0.3178,0.52071,1.20362,0.99298,0.99453,0.99182,0.82548,0.99298,0.99453,0.99182,0.66828,0.69475,1.19647,0.07193,0.32642,1.25187,0.000307,0.000307,0.000307
72,7045.96,0.67159,1.74134,0.30971,0.50027,1.1808,0.99338,0.99599,0.99253,0.82306,0.99338,0.99599,0.99253,0.7081,0.6924,1.12434,0.07063,0.31774,1.24669,0.0002971,0.0002971,0.0002971
73,7463.37,0.70006,1.75995,0.30524,0.50331,1.2039,0.99066,0.99675,0.99219,0.82037,0.99066,0.99675,0.99219,0.70585,0.69667,1.15317,0.08001,0.32344,1.24485,0.0002872,0.0002872,0.0002872
74,7859.73,0.70499,1.70086,0.30552,0.50799,1.19418,0.99256,0.99459,0.99247,0.82518,0.99256,0.99459,0.99247,0.71779,0.68602,1.08901,0.05706,0.31885,1.2402,0.0002773,0.0002773,0.0002773
75,8273.32,0.6799,1.70161,0.30577,0.50521,1.18853,0.99383,0.99399,0.99247,0.82599,0.99383,0.99399,0.99247,0.71704,0.6894,1.07152,0.06706,0.32157,1.23446,0.0002674,0.0002674,0.0002674
76,8684.98,0.69677,1.72248,0.30977,0.5135,1.20452,0.98818,0.99672,0.99247,0.82382,0.98818,0.99672,0.99247,0.72042,0.68434,1.08688,0.06031,0.32775,1.23966,0.0002575,0.0002575,0.0002575
77,9096.42,0.69029,1.67841,0.31226,0.51363,1.20616,0.99435,0.99549,0.99213,0.81525,0.99435,0.99549,0.99213,0.7199,0.69321,1.07046,0.06975,0.32595,1.25129,0.0002476,0.0002476,0.0002476
78,9507.62,0.68927,1.69004,0.30271,0.50079,1.19788,0.99451,0.99431,0.99207,0.81945,0.99451,0.99431,0.99207,0.72056,0.67952,1.07718,0.05545,0.31604,1.2368,0.0002377,0.0002377,0.0002377
79,9920.49,0.68832,1.66799,0.30821,0.49688,1.19436,0.99235,0.99549,0.99253,0.82568,0.99235,0.99549,0.99253,0.71826,0.68614,1.08052,0.06446,0.31483,1.24141,0.0002278,0.0002278,0.0002278
80,10340.1,0.66704,1.63356,0.30075,0.48435,1.18342,0.99278,0.99585,0.99213,0.82426,0.99278,0.99585,0.99213,0.73242,0.6821,1.09472,0.05867,0.31549,1.23153,0.0002179,0.0002179,0.0002179
81,10749.6,0.67744,1.63012,0.30438,0.49456,1.19284,0.99304,0.99457,0.99241,0.81821,0.99304,0.99457,0.99241,0.73518,0.716,1.07979,0.06722,0.3271,1.25426,0.000208,0.000208,0.000208
82,11292.6,0.66954,1.61707,0.30098,0.47839,1.17514,0.99146,0.99538,0.99259,0.82172,0.99146,0.99538,0.99259,0.7371,0.68664,1.0715,0.05326,0.31305,1.23238,0.0001981,0.0001981,0.0001981
83,11871.3,0.6532,1.57937,0.30359,0.46826,1.17468,0.99278,0.99431,0.99213,0.81761,0.99278,0.99431,0.99213,0.74599,0.69178,1.05095,0.07032,0.32463,1.24336,0.0001882,0.0001882,0.0001882
84,12440.7,0.66016,1.59652,0.31175,0.47226,1.17157,0.99226,0.99434,0.99154,0.82373,0.99226,0.99434,0.99154,0.7317,0.67579,1.06821,0.06537,0.32038,1.2239,0.0001783,0.0001783,0.0001783
85,12982.7,0.66721,1.56966,0.29518,0.454,1.17611,0.99304,0.9943,0.99154,0.82612,0.99304,0.9943,0.99154,0.74023,0.67165,1.05339,0.05723,0.31387,1.22218,0.0001684,0.0001684,0.0001684
86,13582.9,0.63351,1.54241,0.29379,0.46245,1.16498,0.99322,0.99609,0.99148,0.82411,0.99322,0.99609,0.99148,0.73692,0.68213,1.05073,0.05983,0.3074,1.22618,0.0001585,0.0001585,0.0001585
87,14206.8,0.6495,1.51759,0.29633,0.47612,1.18496,0.99316,0.99484,0.99182,0.82706,0.99316,0.99484,0.99182,0.74669,0.68287,1.03375,0.06192,0.3107,1.22081,0.0001486,0.0001486,0.0001486
88,14832.6,0.65077,1.51983,0.29689,0.45705,1.17626,0.99315,0.99522,0.99201,0.8293,0.99315,0.99522,0.99201,0.74833,0.68246,1.02624,0.06631,0.31181,1.22228,0.0001387,0.0001387,0.0001387
89,15185.6,0.68404,1.48504,0.29321,0.49669,1.1973,0.99309,0.99469,0.99182,0.82832,0.99309,0.99469,0.99182,0.74641,0.67725,1.03508,0.04963,0.30898,1.21456,0.0001288,0.0001288,0.0001288
90,15506.3,0.63256,1.48786,0.29206,0.44867,1.16814,0.99351,0.99547,0.99167,0.82994,0.99351,0.99547,0.99167,0.75498,0.66707,1.00742,0.06083,0.30496,1.21492,0.0001189,0.0001189,0.0001189
91,15823.7,0.6299,1.18223,0.14089,0.33164,1.28925,0.99057,0.99497,0.99241,0.82501,0.99057,0.99497,0.99241,0.75152,0.69609,1.02102,0.04738,0.32597,1.22892,0.000109,0.000109,0.000109
92,16140.5,0.60624,1.10939,0.12397,0.31711,1.2581,0.99018,0.99697,0.99229,0.82485,0.99018,0.99697,0.99229,0.75608,0.67701,1.00388,0.03759,0.3181,1.21447,9.91e-05,9.91e-05,9.91e-05
93,16455.7,0.59752,1.10305,0.1235,0.30681,1.26353,0.99285,0.99697,0.99259,0.82675,0.99285,0.99697,0.99259,0.76431,0.67469,0.97443,0.03673,0.31167,1.20952,8.92e-05,8.92e-05,8.92e-05
94,16770.6,0.61803,1.07301,0.12053,0.30516,1.26962,0.99211,0.99697,0.99272,0.82209,0.99211,0.99697,0.99272,0.76848,0.69111,0.96603,0.03559,0.30541,1.21867,7.93e-05,7.93e-05,7.93e-05
95,17086.8,0.59422,1.07359,0.11963,0.29466,1.24709,0.99225,0.99697,0.99253,0.82932,0.99225,0.99697,0.99253,0.76225,0.66876,0.95186,0.0362,0.29995,1.20565,6.94e-05,6.94e-05,6.94e-05
96,17404.4,0.57459,1.05516,0.11681,0.2874,1.24154,0.9918,0.99697,0.99284,0.828,0.9918,0.99697,0.99284,0.76395,0.67074,0.9562,0.0336,0.30023,1.21366,5.95e-05,5.95e-05,5.95e-05
97,17723,0.57574,1.03126,0.10939,0.29066,1.2337,0.99132,0.99697,0.99272,0.8341,0.99132,0.99697,0.99272,0.77512,0.66096,0.94707,0.03029,0.29476,1.20649,4.96e-05,4.96e-05,4.96e-05
98,18040,0.57939,1.0209,0.10717,0.28459,1.2322,0.99256,0.99697,0.99278,0.83279,0.99256,0.99697,0.99278,0.78149,0.6637,0.94193,0.02977,0.29676,1.20164,3.97e-05,3.97e-05,3.97e-05
99,18356.7,0.57002,1.01877,0.10707,0.28446,1.23719,0.99279,0.99697,0.99278,0.82514,0.99279,0.99697,0.99278,0.77869,0.66487,0.93406,0.03254,0.2946,1.20104,2.98e-05,2.98e-05,2.98e-05
100,18673.2,0.57827,1.00208,0.10303,0.28185,1.23273,0.99249,0.99697,0.99287,0.83344,0.99249,0.99697,0.99287,0.78005,0.65969,0.927,0.03106,0.29437,1.19975,1.99e-05,1.99e-05,1.99e-05
